snapped_at,price,market_cap,total_volume
2026-03-17,2351.172929558985,283735615158.5437,37734375007.81236
2026-03-16,2175.059915408281,262512054941.104,14747913813.60742
2026-03-15,2096.556369062344,253100179300.2875,9282981861.045782
2026-03-14,2093.00633968562,252501564143.83585,28482320998.799824
2026-03-13,2076.5162283684745,250636874415.3797,20100511777.3683
2026-03-12,2051.7311684113824,247646084116.33203,19128555868.09481
2026-03-11,2035.2089486782504,245646280321.6054,24001624664.90548
2026-03-10,1992.355228734493,240568829023.63785,23948772987.557167
2026-03-09,1938.624925351496,234130530358.1918,16256963053.691586
2026-03-08,1969.6937981965011,237705413185.15485,9708504242.945522
2026-03-07,1980.7782841320015,239165082328.51263,19315502583.71804
2026-03-06,2074.522248185161,250411621366.98477,22447894281.23465
2026-03-05,2125.8345858015964,256536391246.6736,34189044586.86029
2026-03-04,1982.458278653345,239664309988.1716,23812766657.95574
2026-03-03,2029.443994398502,245115922455.21896,25981401238.01784
2026-03-02,1938.411487707785,233982481666.26425,22612368031.39022
2026-03-01,1965.036620141305,237260462029.16663,22174654477.74997
2026-02-28,1931.3205870910035,233144085915.6596,21664624267.05581
2026-02-27,2027.3015182289616,244470152452.73337,23012726588.17416
2026-02-26,2053.1886740789387,247536737253.7812,26646705598.64601
2026-02-25,1852.8102933693349,223610046968.4375,19343806620.90055
2026-02-24,1853.695790383818,223731652427.76767,31366211602.76786
2026-02-23,1954.1913563168573,235501329876.95392,10142077738.794188
2026-02-22,1973.664331586064,238204433973.60416,10481601460.735386
2026-02-21,1967.8121148578189,237381191118.92096,21428203502.98199
2026-02-20,1946.9092613594232,235006669215.33435,19134139969.17213
2026-02-19,1954.7534951528544,235735616203.1252,19828649642.21613
2026-02-18,1992.004854467171,240295806016.11963,21432577907.82225
2026-02-17,2000.6104432030936,241437650925.12573,19705943204.54316
2026-02-16,1963.9572853026268,237059805728.8081,31079407276.992832
